"activity_id","cme_catalog","note","region_number","source_location","external_link","half_angle","is_most_accurate","latitude","longitude","note","speed","time21_5","type","au","estimated_duration","estimated_shock_arrival_time","is_earth_gb","kp_135","kp_18","kp_180","kp_90","model_completion_time","rmin_re"
"2018-01-22T03:12:00-CME-001",M2M_CATALOG,CME associated with a B9.6 flare from AR 2696.  CME had a very irregular form and could only be measured using SOHO images.,12696.0,S12W58,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/13622/-1,31.0,true,-18.0,66.0,The CME had an irregular form and could only be measured using SOHO images.,560.0,2018-01-22 07:28:00.000,C,2.0,,,false,,,,,2018-01-22 12:59:00.000,
"2018-01-22T03:12:00-CME-001",M2M_CATALOG,CME associated with a B9.6 flare from AR 2696.  CME had a very irregular form and could only be measured using SOHO images.,12696.0,S12W58,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/13622/-1,31.0,true,-18.0,66.0,The CME had an irregular form and could only be measured using SOHO images.,560.0,2018-01-22 07:28:00.000,C,2.0,,,false,,,,,2018-01-22 12:59:00.000,
"2018-02-12T01:25:00-CME-001",M2M_CATALOG,This partial halo CME is associated with a long duration C1.5 flare peaking at 1:35Z from AR2699. It was followed by a large eruption characterized by dimming and opening field lines best seen in SDO AIA 193 and post eruptive arcades best seen in SDO AIA 171.,12699.0,S10W05,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/13661/-1,49.0,true,-7.0,22.0,"",554.0,2018-02-12 05:21:00.000,C,2.0,23.5,2018-02-15 04:42:00.000,false,4.0,,5.0,3.0,2018-02-12 13:51:00.000,6.0
"2018-05-03T17:24:00-CME-001",M2M_CATALOG,The source is an eruption east of disk center in STA EUVI around 16:05.,,"",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/13868/-1,32.0,false,-4.0,-155.0,"",650.0,2018-05-03 19:54:00.000,C,2.0,,,false,,,,,2018-05-03 20:52:00.000,
"2018-05-03T17:24:00-CME-001",M2M_CATALOG,The source is an eruption east of disk center in STA EUVI around 16:05.,,"",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/13868/-1,32.0,false,-4.0,-155.0,"",650.0,2018-05-03 19:54:00.000,C,2.0,,,false,,,,,2018-05-03 20:52:00.000,
"2018-05-31T14:12:00-CME-001",M2M_CATALOG,Source was an eruption around 13:05 in the AR near disk center in STA EUVI.,,"",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/13940/-1,23.0,true,9.0,-102.0,"",361.0,2018-05-31 21:07:00.000,S,2.0,,,false,,,,,2018-06-01 12:34:00.000,
"2018-05-31T14:12:00-CME-001",M2M_CATALOG,Source was an eruption around 13:05 in the AR near disk center in STA EUVI.,,"",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/13940/-1,23.0,true,9.0,-102.0,"",361.0,2018-05-31 21:07:00.000,S,2.0,,,false,,,,,2018-06-01 12:34:00.000,
"2018-06-14T17:36:00-CME-001",M2M_CATALOG,"Source is a filament eruption that was seen hanging in SDO 171 and 304 around the SW limb.  It erupted around 06-14T13:30Z.
CME can be seen pushing part of an existing streamer along with it (see C2 frames).",,"",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/13969/-1,33.0,true,-16.0,92.0,Measured with swpc_cat using C3 and STA Cor2 frames.,282.0,2018-06-15 03:31:00.000,S,2.0,,,false,,,,,2018-06-15 11:24:00.000,
"2018-07-05T04:39:00-CME-001",M2M_CATALOG,The source was the filament eruption visible in SDO 304 north of center disk at 2018-07-05T00:18Z there are also opening field lines and dimming visible in SDO 193. The filament eruption is also visible in EUVI A 304 off the west limb.,,N12E11,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/14021/-1,22.0,true,-5.0,-10.0,"",260.0,2018-07-05 19:56:00.000,S,2.0,,,false,,,,,2018-07-05 17:13:00.000,
"2018-07-05T11:36:00-CME-001",M2M_CATALOG,"There is a filament eruption off the northwest limb at about 2018-07-05T11:16Z, visible in both SDO 304 A and SDO 171 A. There are also opening field lines off the east limb in EUVI A at about 2018-07-05T11:15Z.",,"",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/14023/-1,35.0,true,8.0,124.0,"",485.0,2018-07-05 16:07:00.000,S,2.0,,,false,,,,,2018-07-05 17:13:00.000,
"2018-08-20T21:24:00-CME-001",M2M_CATALOG,The source is a filament eruption occurring around 2018-08-20T18:00Z at N40W05 in SDO 193.,,"",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/14114/-1,19.0,true,10.0,0.0,Measurements are rough due to a data gap in STA Cor2 imagery.,309.0,2018-08-21 15:06:00.000,S,2.0,12.0,2018-08-24 21:00:00.000,true,3.0,,4.0,2.0,2018-08-21 11:06:00.000,
"2018-09-27T04:54:00-CME-001",M2M_CATALOG,The source is a filament eruption seen in SDO AIA 304 around 09-27T04:00Z around S40E10. CME is very faint and difficult to measure. Start time may not be accurate.,,"",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/14206/-1,35.0,true,-4.0,-10.0,"",212.0,2018-09-27 15:40:00.000,S,2.0,,2018-10-02 03:00:00.000,true,,,3.0,2.0,2018-09-28 17:34:00.000,
"2018-10-29T05:24:00-CME-001",M2M_CATALOG,Filament lifted slowly for several hours before erupting at 2018-10-28T20:25Z.  CME was very faint and narrow.  Measurements are very preliminary.,,S50W30,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/14260/-1,12.0,true,-9.0,36.0,"",316.0,2018-10-29 12:09:00.000,S,2.0,,,false,,,,,2018-10-29 13:56:00.000,
"2018-12-12T05:30:00-CME-001",M2M_CATALOG,From a filament eruption visible off the east limb in SDO AIA 171 and 304. STA EUV and coronagraph images are not available at this time.,,N06W105,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/14351/-1,20.0,true,-6.0,-105.0,"",150.0,2018-12-13 06:01:00.000,S,2.0,,,false,,,,,2018-12-12 17:11:00.000,
